train_loss,train_acc,test_loss,test_acc
1.2705736439787076,0.51963928509093,1.300934063946317,0.5102204471856415
1.5609914117561792,0.471943895435166,1.5827178170303544,0.47254509668431444
1.3876041871512341,0.5172344755403743,1.4027933783545523,0.5150300662568911
1.319684103579225,0.5282565197032058,1.3340372493964636,0.5260521103301363
1.1859389993852987,0.5781563186275218,1.1985090715971165,0.5805611281034225
1.0269912615388572,0.6368737521176348,1.0441336799599603,0.6314629306475481
0.9261980570389895,0.6607214464154655,0.940809244308658,0.6613226481871997
0.8085668086259064,0.7030060127049027,0.823777280419408,0.7034068143439436
0.7708579151702668,0.7300601205629911,0.7846638724312395,0.7308617229452115
0.7170174298901297,0.7444889768808781,0.7292579233512013,0.7446893785663979
0.6423364790130355,0.7733466908305824,0.6519628843751722,0.7745490967630145
0.6714483924127951,0.7717434846924875,0.6809635392963169,0.7731462912354058
0.5918394905740847,0.797394786306278,0.5981923414577165,0.796392782955227
0.622779346487386,0.7839679336977865,0.6308821469903709,0.7829659302272873
0.5837386907684898,0.8026052073749129,0.5860693795701679,0.803406810891891
0.5361767515058597,0.8144288536661374,0.5381892260671677,0.811823643818647
0.5445826559594434,0.8128256472294221,0.5470537922031551,0.8118236433408542
0.5346699834834852,0.812224445577136,0.5357465979266157,0.8092184334933639
0.4887207800789339,0.830060115498388,0.4904684325374984,0.8278557073496625
0.49685051412935666,0.8326653263014638,0.497781762500986,0.8294589137863778
